groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
229	CD14mono	-9.79437462119942	-0.943304939280982	0.396233567110193	#F28238	0.999877419170919	0	0	0
230	CD4	9.0472954151165	1.31517066239214	0.981545602772493	#005F9F	0	0	0	0.998555018596978
231	late-Ery	-8.19269863395576	-10.9427858424296	0.906132653341373	#901838	0	0.999999999999799	0	0
232	CD4	9.85116561622734	0.97852565525866	0.982104174337772	#005F9F	0	0	0	0.998607939458312
233	NaiveB	3.4625638362896	9.7396472859273	0.858842789411384	#A896C8	0	0	0.970749815183916	0.0291870390787061
234	MemoryB	4.26094087333794	9.19850100754595	0.865209838896079	#B280B9	0	0	0.990871232976831	0
235	MemoryB	4.3259409305584	8.34953536270953	0.858710993548055	#B280B9	0	0	0.986005542027055	0.0139642465262918
236	CD14mono	-9.17947689323311	-0.694003297101493	0.40136771938831	#F28238	0.999897882176625	0	0	0
237	CD8	3.46162017555351	-5.28917036772871	0.988168852109607	#1481C4	0	0	0	0.999037599587259
238	CD8	5.35426934929009	-2.89393792868757	0.982308294602493	#1481C4	0	0	0	0.998722280275201
239	CD4	7.63941463203545	2.25493849991656	0.963962118835996	#005F9F	0	0	0	0.997087744405544
240	CD14mono	-7.29028478889351	1.85198082207537	0.376501173729045	#F28238	0.99958086881352	0	0	0
241	NK	2.99430617065544	-8.76721630812787	0.99867483112649	#492264	0	0	0	0.999371067036305
242	CD4	6.33857759208794	0.333132224071984	0.946947561128251	#005F9F	0	0	0.0175319700165965	0.982032899345026
243	CD14mono	-10.1467601421345	0.0247303712258385	0.389668817416669	#F28238	0.999837707655903	0	0	0
244	NK	4.01423438758965	-9.60181961775922	0.994969122730273	#492264	0	0	0	0.999282916583299
245	NaiveB	3.74400671692009	10.1658271717916	0.871107021520401	#A896C8	0	0	0.993148063676912	0
246	NK	4.25989087791557	-7.20705757857465	0.994177694249083	#492264	0	0	0	0.999257467179594
247	CD4	9.31849654884453	1.5712655949483	0.980490629302813	#005F9F	0	0	0	0.998530691919149
248	CD14mono	-9.7950946453083	-0.217361135493751	0.375379493480079	#F28238	0.999409217172194	0	0	0
249	NaiveB	3.21298106880302	9.30132807968951	0.816151819422375	#A896C8	0	0	0.417020316380149	0.58172126369723
250	NK	2.29644736023064	-9.82201252699994	0.998222246401073	#492264	0	0	0	0.999360993761766
251	CD8	3.51584180564995	-5.27696619750165	0.960566560547875	#1481C4	0	0	0	0.995677055012595
252	CD4	8.08176597328301	1.0552526879201	0.977125187071712	#005F9F	0	0	0	0.998449028394878
253	early-Ery	-6.41678205757027	-6.58081970931196	0.738166650852236	#CC1F39	0	0.999999999999675	0	0
254	NaiveB	3.71652420730705	11.5027173924336	0.877977643827088	#A896C8	0	0	0.99551916431163	0
